ID	回复回合数	时间数
12050758:12077544 1 0.000000
12050758:12079774 1 0.000000
12051169:12079553 1 0.000000
12051484:12078243 1 0.183333
12051562:12083351 1 0.000000
12052073:12082195 1 130.916667
12054051:12075700 1 0.000000
12054074:12079550 1 0.000000
12055387:12077723 1 0.000000
12056208:12079357 1 0.000000
12056208:12079665 1 0.566667
12056246:12067865 1 0.683333
12056288:12083587 1 0.316667
12056506:12065674 1 91.483333
12056506:12075017 4 970.600000
12058590:12067263 1 0.283333
12058824:12078821 1 0.000000
12060883:12077739 1 0.000000
12061401:12079765 1 0.000000
12061990:12074382 1 0.833333
12062113:12081177 1 0.000000
12062187:12073846 1 0.216667
12062443:12078752 1 0.283333
12063483:12080261 1 1177.616667
12063983:12070930 2 435.016667
12064012:12080855 1 0.000000
12064686:12070679 1 0.000000
12064780:12083636 1 0.533333
12065643:12082799 1 0.000000
12066288:12068784 1 0.133333
12066562:12082820 1 0.533333
12066768:12080518 1 0.150000
12066886:12078336 6 2832.200000
12067022:12081394 1 0.000000
12067106:12083108 1 0.000000
12067291:12076446 1 0.000000
12067571:12071056 1 0.200000
