ID	回复回合数	时间数
10000:12036944 1 1412.183333
10000:12037094 1 1409.800000
10000:12037417 1 1419.066667
10000:12037735 1 1424.000000
10000:12037743 1 1410.100000
10000:12037774 1 1427.216667
10000:12037784 1 1418.450000
10000:12038070 1 1420.250000
10000:12038228 1 1411.350000
10000:12038383 1 1416.133333
10000:12038393 1 1417.933333
10000:12038706 1 1420.133333
10000:12038740 1 1417.800000
10000:12038863 1 1425.150000
10000:12039022 1 1410.766667
10000:12039032 1 1405.700000
10000:12039063 1 1424.516667
10000:12039682 1 1406.800000
10000:12039713 1 1408.100000
10000:12039716 1 1415.533333
10000:12039839 1 1405.466667
10000:12039842 1 1428.250000
10000:12040029 1 1413.916667
10000:12040031 1 1413.133333
10000:12040036 1 1420.433333
10000:12040039 1 1424.300000
10000:12040165 1 1419.050000
10000:12040311 1 1421.766667
10000:12040483 1 1425.116667
12030561:12098715 1 0.000000
12030561:12104489 1 0.000000
12030561:12109037 1 1.733333
12030561:12110159 1 1.350000
12030561:12112224 10 14.033333
12030562:12110315 1 14.900000
12030564:12067142 2 2.650000
12030564:12095132 10 26.600000
12030564:12109642 2 57.666667
12030566:12097270 8 73.516667
12030566:12105773 2 964.050000
12030566:12110270 3 749.750000
12030566:12111759 9 259.750000
12030566:12112219 8 14.733333
12030569:12095132 8 21.483333
12030569:12100770 1 0.133333
12030569:12111440 9 10.733333
12030570:12099793 1 0.000000
12030570:12104626 1 0.000000
12030570:12109177 2 494.600000
12030570:12109636 1 5.616667
12030570:12110266 8 37.166667
12030570:12110307 8 10.933333
12030572:12108859 1 0.000000
12030572:12109498 1 0.000000
12030572:12109634 2 117.083333
12030572:12110274 10 18.516667
12030575:12053386 1 109.833333
12030575:12097410 1 0.000000
12030575:12101896 2 142.100000
12030575:12104631 1 0.000000
12030575:12106919 8 24.133333
12030575:12110145 9 63.833333
12030575:12110261 1 0.000000
12030577:12069381 1 0.000000
12030577:12105787 1 0.000000
12030577:12106599 8 8.816667
12030577:12108214 1 0.000000
12030577:12109170 8 27.900000
12030580:12104470 1 0.000000
12030580:12108655 1 0.000000
12030580:12109290 10 29.166667
12030580:12110266 10 37.433333
12030580:12111065 8 8.900000
12030602:12109268 1 1.033333
12030602:12109468 1 0.000000
12030625:12104299 1 0.000000
12030667:12109699 1 4.416667
12030734:12105112 1 0.000000
12030743:12106718 1 0.000000
12030745:12106718 1 1386.300000
12030748:12109458 12 13.483333
12030749:12107685 10 18.633333
12030749:12109971 2 61.866667
12030756:12109114 1 0.450000
