id	send_uid	recv_uid	cp_num	cp_cycle_day	created	updated
1919	12397755	12458600	1389	2019-12-19	2019-12-20 15:02:00	2019-12-20 15:51:38
1924	12397755	12417047	234	2019-12-19	2019-12-20 15:02:00	2019-12-20 15:02:30
1966	12353077	12467422	99	2019-12-19	2019-12-20 15:04:40	2019-12-20 15:04:40
1967	12397755	12416726	39	2019-12-19	2019-12-20 15:05:24	2019-12-20 15:05:24
1968	12397755	12434899	138	2019-12-19	2019-12-20 15:05:24	2019-12-21 21:04:00
1969	12397755	12464392	39	2019-12-19	2019-12-20 15:05:24	2019-12-20 15:05:24
1970	12397755	12463023	39	2019-12-19	2019-12-20 15:05:24	2019-12-20 15:05:24
1971	12394174	12397755	138	2019-12-19	2019-12-20 15:05:24	2019-12-21 21:04:00
1972	12395128	12397755	99	2019-12-19	2019-12-20 15:18:33	2019-12-20 15:18:33
1977	12397755	12464756	198	2019-12-19	2019-12-20 15:18:34	2019-12-20 15:26:53
1983	12397755	12466153	2607	2019-12-19	2019-12-20 15:26:52	2019-12-25 19:48:18
1989	12436355	12466153	39	2019-12-19	2019-12-20 15:33:28	2019-12-20 15:33:28
1990	12424850	12466153	117	2019-12-19	2019-12-20 15:33:28	2019-12-24 12:56:13
1994	12397755	12436355	195	2019-12-19	2019-12-20 15:33:57	2019-12-20 15:51:38
1995	12370899	12397755	195	2019-12-19	2019-12-20 15:33:57	2019-12-20 15:51:38
2008	12352423	12397755	1077	2019-12-19	2019-12-20 15:38:11	2019-12-24 15:59:21
2013	12397755	12467312	39	2019-12-19	2019-12-20 15:39:54	2019-12-20 15:39:54
2019	12397755	12434309	78	2019-12-19	2019-12-20 15:50:13	2019-12-20 15:51:38
2031	12397755	12466787	39	2019-12-19	2019-12-20 15:51:38	2019-12-20 15:51:38
2033	12460186	12460311	792	2019-12-19	2019-12-20 15:52:22	2019-12-23 19:54:36
2034	12389381	12466153	118983	2019-12-19	2019-12-20 15:52:32	2019-12-25 23:53:52
2035	12389381	12397755	489	2019-12-19	2019-12-20 15:52:36	2019-12-24 15:59:21
2045	12424364	12459458	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2046	12370899	12459458	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2047	12459458	12466787	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2048	12434309	12459458	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2049	12459458	12459932	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2050	12424850	12459458	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2051	12459458	12467214	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2052	12446529	12459458	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
2053	12352301	12459458	39	2019-12-19	2019-12-20 16:09:09	2019-12-20 16:09:09
